party,rile,date
35315,32.292,198707
35951,-1.105,199110
35229,-23.884,200502
35060,0.605,201510
35110,-31.28,201910
35120,-25.473,201910
35130,-24.095,201910
35211,-34.513,201910
35220,-31.77,201910
35311,-12.621,201910
35313,-4.598,201910
35410,13.853,201910
35520,10.767,201910
35720,47.873,201910
41220,-10.227,194908
41711,-24.658,194908
41712,20,194908
41911,28.571,194908
41912,31.579,194908
41522,-10,195309
41951,-13.333,195309
41620,-20,195709
41111,-22.967,198701
41112,-15.972,199012
41221,-21.327,200209
41222,-31.239,200509
41952,-12.653,201309
41113,-21.058,201709
41223,-41.914,201709
41320,-21.437,201709
41420,0.578,201709
41521,2.757,201709
41953,17.43,201709
42421,64.706,199512
42220,-17.391,200809
42710,-8.721,200809
42951,0.971,201309
42120,-7.042,201710
42110,-21.695,201909
42320,-39.424,201909
42420,2.703,201909
42430,-10.077,201909
42520,2.086,201909
43951,46.561,199510
43321,-15.823,199910
43531,48.864,200310
43710,18.908,200310
43540,-40.288,201110
43902,52.381,201510
43020,-43.44,201910
43110,-21.853,201910
43120,2.083,201910
43220,-44.741,201910
43320,-38.525,201910
43420,15.051,201910
43520,-15.655,201910
43530,13.178,201910
43711,34.627,201910
43810,41.036,201910
43811,-6.982,201910
43901,23.077,201910
51330,-4.167,198706
51420,-4.167,198706
51621,3.118,201505
51951,2.037,201706
51110,-20.367,201912
51210,-24.409,201912
51320,-31.845,201912
51340,-16.438,201912
51421,-19.605,201912
51430,-10.611,201912
51620,6.209000000000001,201912
51901,-18.717,201912
51902,-24.463,201912
51903,12.262,201912
52320,-12.2,196902
52710,-17.7,196902
52620,-10,197307
53810,0,196110
53714,-3.922,196504
53220,-32.357,198906
53221,-12.315,199706
53420,-6.862,200705
53021,-30.928,201102
53230,-16.901,201102
53110,-32.091,201602
53231,-47.917,201602
53240,-32.159,201602
53250,-18.11,201602
53320,-27.805,201602
53321,-32.807,201602
53520,-18.115,201602
53620,-26.758,201602
53951,-12.514,201602
53981,15.068,201602
54320,-18.519,199809
54620,-18.105,199809
55421,20.886,199605
55423,4.245,199605
55430,9.444,201105
55110,-8.252,201605
55321,-26.071,201605
55322,-15.152,201605
55340,-8.897,201605
55422,3.846,201605
55610,4.714,201605
55711,20.389,201605
55720,8.163,201605
61621,-28.058,192411
61622,-42.116,194811
61911,52.459,194811
61320,-20.578,201611
61620,32.969,201611
62951,10.9,197407
62621,40.449,199706
62620,-3.947,200011
62622,10.787,200011
62110,-17.572,201510
62320,-9.674,201510
62420,-20.683,201510
62623,29.016,201510
62901,-5.674,201510
63330,-10.7,197712
63321,-23.642,200111
63410,8.482,201309
63622,22.975,201309
63110,-23.218,201607
63320,-34.397,201607
63620,12.24,201607
63621,12.24,201607
63710,-10,201607
63810,-5,201607
63901,-26.316,201607
64951,-17.91,199010
64321,6.746,199911
64422,0,200811
64902,-35.345,201111
64421,-7.228,201409
64110,-16.048,201709
64320,-22.787,201709
64420,36.327,201709
64620,-3.808,201709
64621,-15.63,201709
64901,-20.09,201709
71621,-10.127,198607
71322,-20.69,199002
71321,-25.714,199307
71622,-31.707,199307
71952,-4.348,199307
71623,4,199610
71951,-25.581,199610
71625,15,200006
71420,-26.087,200311
71626,6.471,200311
71640,-28.846,200311
71953,-42.708,200908
71110,-31.646,201212
71410,-2.385,201212
71430,15.436,201212
71630,-16.86,201212
71650,-19.118,201212
71111,-34.94,201412
71220,-37.313,201412
71320,-39.72,201412
71530,-21.799,201412
71620,-2.036,201412
71624,-28.205,201412
71660,14.552,201412
71710,NA,201412
72420,36.486,195911
72324,0,196108
72325,33.333,196108
72411,13.095,196108
72620,71.429,196108
72322,1.538,196511
72220,32.813,196910
72610,61.538,196910
72611,50,196910
72621,26.19,196910
72221,-40.351,197312
72224,-37.143,197312
72412,17.647,197705
72623,46.154,197705
72223,-3.448,198106
72410,10.526,198106
72320,14.286,198407
72414,23.529,198407
72425,60,198407
72532,52.941,198407
72534,68.96600000000001,198407
72222,-23.529,198811
72310,-26.471,198811
72311,-37.5,198811
72531,9.091,198811
72614,0,198811
72612,57.692,199206
72613,-20,199206
72427,34.615,199605
72615,53.333,199605
72327,4.167,199905
72415,2.564,199905
72428,13.636,199905
72312,-25.641,200301
72413,8.411,200301
72530,25.424,200603
72951,NA,200603
72092,0,200902
72624,59.091,200902
72430,-12.238,201301
72431,-1.617,201301
72091,-17.021,201503
72328,-2.288,201503
72440,-15.106,201503
72701,38.776,201503
72041,-10.359,201904
72071,43.902,201904
72225,-31.737,201904
72323,-9.218,201904
72326,-21.972,201904
72450,-22.451,201904
72533,NA,201904
72535,NA,201904
72622,NA,201904
72625,31.522,201904
72901,NA,201904
72903,3.647,201904
73310,-20.8,197707
73330,-11.3,197707
74710,-28.378,195405
74621,44.6,195710
74625,3.175,196910
74622,31.4,197706
74714,37.5,197706
74322,-13.6,198311
74711,-7.8,198311
74323,-13.063,199110
74715,33.475,199512
74324,19.322,199904
74623,-25,199904
74624,-8.075,199904
74626,26.488,199904
74627,-1.463,199904
74716,7.383,199904
74326,-35.385,200707
74325,-33.835,201106
74210,-26.517,201806
74321,-29.462,201806
74628,-6.78,201806
74640,-14.928,201806
74712,9.358,201806
74717,-18.096,201806
75621,10.274,199103
75622,42.321,199203
75623,55.963,199706
75624,27.184,199706
75721,24.286,199706
75722,9.917,199706
75220,0.5710000000000001,200106
75320,-2.188,200106
75421,-0.921,200106
75810,-4.167,200106
75951,22.472,200106
76521,46.341,199507
76711,2.564,199507
76901,36.842,199507
76222,-4.082,199905
76712,-7.857,199905
76902,9.728,199905
76903,-0.901,199905
76322,-1.449,200305
76421,16.8,200305
76904,2.344,200305
76041,-8.824,201205
76321,-7.339,201205
76420,-12.575,201205
76430,-0.9540000000000001,201205
76610,-3.822,201205
76620,-4.425,201205
77430,-34.483,199511
77220,14.286,200011
77221,-32.759,200011
77420,4.628,200011
77710,28.571,200011
77951,31.429,200011
78211,-19.672,199511
78212,-9.091,199511
78213,-2.941,199511
78214,4.673,199511
78410,6.098,199511
78430,46.897,199511
78710,16.194,199511
78901,-2.614,199511
79221,-13.07,199011
79222,0,199011
79954,-11.765,199011
79223,5.747,199609
79421,-2.174,199809
79721,-2.139,199809
79722,1.639,199809
79423,-2.857,200011
79901,4.07,200011
79957,-24.242,200610
79723,0,201010
79322,7.547000000000001,201410
79955,-16.218,201410
79956,-17.68,201410
79030,-15.77,201810
79090,NA,201810
79321,-17.779,201810
79422,-6.855,201810
79440,-23.99,201810
79610,-15.254,201810
79730,-3.101,201810
79951,6.835,201810
79953,-29.282,201810
80810,12.258,199006
80228,-2.632,199412
80410,23.608,199412
80811,1.515,199412
80812,8.784,199412
80110,19.259,199704
80229,21.918,199704
80320,26.147,199704
80901,5.705,199704
80952,13.514,199704
80411,13.089,200506
80610,11.674,200506
80813,-1.422,200506
80902,-8.56,200506
80051,14.91,200907
80620,47.42,200907
80220,-38.107,201305
80061,-6.589,201410
80062,20.884,201410
80330,-1.579,201410
80630,-6.107,201410
80710,-11.628,201410
80071,24.49,201703
80221,6.987,201703
80510,7.726,201703
80640,8.333,201703
80951,0.9430000000000001,201703
81111,-1.639,199004
81112,5.172,199004
81221,-11.013,199004
81222,-11.458,199004
81229,-5.221,199004
81420,10.87,199004
81951,8.108,199208
81954,0,199208
81955,3.333,199208
81959,0.454,199208
81410,13.894,199510
81430,3.756,199510
81899,3.629,199510
81956,7.563,199510
81021,-11.613,200001
81042,-5.563,200311
81411,-11.307,200311
81713,57.333,200311
81957,-24.405,200311
81041,-25.689,200711
81220,-9.272,200711
81712,-5.145,200711
81953,-5.789,200711
81230,-48.444,201112
81440,-8.696,201112
81810,-8.802,201112
81910,-15.73,201112
81061,9.091,201511
81450,32.955,201511
81952,31.818,201511
81960,-41.012,201511
81961,16.393,201511
81022,NA,201609
81032,-10.052,201609
81043,-32.218,201609
81091,14.035,201609
81460,-3.106,201609
81711,-2.794,201609
82410,14.371,199006
82520,37.179,199006
82529,20.754,199006
82221,12.874,199206
82419,22.051,199206
82420,2,199206
82521,4.329,199206
82951,4.255,199206
82412,23.273,199605
82421,6.726,199806
82901,26.22,199806
82524,8.287,200206
82710,19.522,200206
82952,0.8300000000000001,201005
82110,-30.248,201310
82720,5.498,201310
82220,-40.209,201710
82320,-36.552,201710
82413,2.186,201710
82430,-13.668,201710
82523,-21.337,201710
82530,-6,201710
82610,-22.658,201710
82721,-21.359,201710
82953,-21.083,201710
83220,31.818,199209
83320,-12.147,199209
83421,0.347,199209
83711,14.488,199209
83712,44,199209
83901,62.5,199209
83610,5.765,199503
83709,9.202,199503
83719,5.742,199503
83951,-13.861,199503
83713,6.849,199903
83810,-12.658,199903
83952,-24.359,199903
83710,24.468,200303
83110,-5.78,201103
83612,0,201103
83410,-11.69,201503
83411,-21.746,201503
83430,0.546,201503
83440,-7.327,201503
83611,9.304,201503
83720,12.809,201503
84095,2.658,199010
84220,14.085,199010
84720,-0.637,199010
84952,-4.061,199010
84110,9.756,199210
84221,8.861,199210
84222,5.435,199210
84321,20.27,199210
84322,-14.634,199210
84411,20.732,199210
84421,25.581,199210
84422,3.509,199210
84423,-5.882000000000001,199210
84521,24.242,199210
84712,5.063,199210
84713,25,199210
84714,6.818000000000001,199210
84715,64.516,199210
84810,3.333,199210
84951,8.511000000000001,199210
84425,8.974,199511
84426,22.581,199511
84427,14.113,199511
84710,14.925,199511
84711,22.741,199511
84223,-13.846,199910
84323,21.212,199910
84424,-5.747,200311
84430,41.111,200311
84432,-15.942,200311
84431,7.975000000000001,200403
84041,1.563,200805
84429,-5.797,200805
84440,3.416,200805
84530,-20.37,200805
84042,-19.018,201210
84428,10.556,201610
84450,-4.548,201610
84716,6.772,201610
84730,19.96,201610
85111,-39.2,199003
85112,-20.8,199003
85210,-35.1,199003
85221,-33,199003
85320,-23.6,199003
85421,-2.6,199003
85422,-19.3,199003
85423,-18.4,199003
85424,-0.9,199003
85429,-13.433,199003
85521,-20.4,199003
85522,7.3,199003
85523,-18.9,199003
85524,-19.4,199003
85901,-21,199003
86811,1.724,199003
86522,-4.287,199805
86620,22.819,199805
86810,6.329,200204
86422,9.614,200604
86521,11.159,200604
86320,-22.642,201004
86110,-20.089,201804
86111,-36.05,201804
86220,-19.821,201804
86221,-12.648,201804
86340,-15.628,201804
86421,48.655,201804
86710,-15.121,201804
87220,20.455,199306
87420,20.904,199306
87430,4.321,199306
87520,5.769,199306
87710,19.88,199306
87810,5.242,199306
87951,2.941,199306
87310,-39.535,199509
87320,-16.949,199509
87411,-26.316,199509
87611,12.766,199509
87721,1.724,199509
87722,13.333,199509
87811,26,199509
87311,-1.932,199810
87421,-17.647,199810
87431,19.767,199810
87410,-1.562,200210
87521,4.762,200210
87041,8.955,200610
87422,-22.034,200610
87423,-7.463,200610
87610,19.444,200610
87723,7.843,200610
87061,33.333,201010
87021,17.073,201109
87620,-1.587,201109
87630,6,201410
87901,25,201410
87042,-16.667,201810
87062,4,201810
87071,1.724,201810
87110,-5.263,201810
87340,-9.859,201810
87640,20,201810
87730,44.828,201810
88421,36.508,199210
88523,19.355,199210
88529,17.701,199210
88710,37.956,199210
88220,-0.266,199610
88522,-11.165,199610
88321,-9.069,200010
88410,-5.379,200010
88420,-8.602,200010
88422,5.702,200010
88521,6.231,200010
88810,-5.507,200010
88031,-14.286,200410
88041,-2.807,200410
88620,27.273,200410
88042,-3.323,200810
88430,5.251,200810
88630,11.45,200810
88952,-5.525,201210
88320,-21.757,201610
88440,-20.245,201610
88450,6.336,201610
88460,-12.205,201610
88621,4.302,201610
88820,-9.775,201610
88951,-15.26,201610
89223,-11.888,199011
89228,-3.247,199011
89229,0.531,199011
89420,11.765,199011
89953,11.864,199011
89959,25.083,199011
89222,-3.333,199410
89227,-13.858,199410
89321,10.469,199810
89952,15.217,199810
89951,-45.283,200209
89430,-11.967,200607
89511,-8.464,200607
89920,-26.154,200607
89230,-16.197,201106
89320,NA,201106
89810,-7.928,201106
89031,-17.691,201404
89930,-29.771,201404
89221,-17.605,201612
89224,3.922,201612
89330,-23.058,201612
89710,-14.249,201612
89910,3.884,201612
89911,-3.191,201612
89912,-22.749,201612
89916,-3.632,201612
89940,-19.15,201612
90220,8.571,199402
90810,-4.895,199402
90951,-0.9520000000000001,199402
90410,-1.361,199803
90420,-5,199803
90610,-7.692,199803
90952,1.684,200102
90320,-17.969,200503
90520,-1.154,200503
90321,8.911,200907
90221,-10.455,201411
90231,-10.455,201411
90330,-10.398,201411
90430,3.093,201411
90620,6.937,201411
91222,-1.382,199012
91223,-13.333,199012
91229,-1.269,199012
91951,7.8740000000000014,199012
91952,7.292,199012
91959,7.583,199012
91320,-3.614,199212
91711,33.503,199212
91953,8.197000000000001,199611
91323,0,199805
91420,17.857,200210
91712,5.727,200210
91421,19.355,200609
91710,10.526,200609
91930,28.846,200609
91430,-14.848,200903
91910,18.75,200903
91020,-5.263,201210
91224,-10.58,201210
91330,19.807,201210
91030,-2.619,201610
91060,-8.273,201610
91440,0.807,201610
91610,3.214,201610
91040,25,202008
91090,6.494,202008
91220,-2.747,202008
91321,17.323,202008
91322,-31.868,202008
91324,-23.46,202008
91920,-11.33,202008
92211,-14.194,199110
92320,-26.016,199110
92321,3.292,199110
92420,17.188,199110
92431,18.227,199110
92432,51.961,199110
92433,24.242,199110
92520,12.903,199110
92521,0,199110
92522,26.126,199110
92523,27.273,199110
92530,38.889,199110
92711,42.105,199110
92712,-6.78,199110
92810,12.727,199110
92952,0.763,199110
92410,9.259,199309
92710,0,199309
92901,6.486,199309
92322,-13.158,199709
92434,-1.99,199709
92620,17.021,199709
92621,8.117,199709
92212,-4.31,200109
92622,-5.637,200509
92713,8.333,200509
92021,-0.329,200710
92210,-0.896,201110
92440,6.122,201110
92435,-13.309,201510
92436,10.812,201510
92450,4.352,201510
92720,-1.766,201510
92811,-7.263,201510
92953,-2.752,201510
93111,-13.699,199005
93112,0,199005
93222,-6.25,199005
93320,-30.189,199005
93521,0,199005
93523,10,199005
93524,1.754,199005
93529,5.877,199005
93714,14.754,199005
93719,5.258,199005
93713,-15.909,199209
93810,-8.491,199209
93322,-12.731,199611
93411,-28.767,199611
93711,-2.381,199611
93221,-3.351,200011
93001,-28.85,200411
93041,5.5,200411
93712,5.56,200411
93002,-12.91,200811
93530,4.95,200811
93031,19.221,201212
93061,-18.681,201212
93981,-20.741,201212
93223,-17.805,201612
93420,26.667,201612
93430,1.471,201612
93440,-25.047,201612
93540,-1.005,201612
93951,-15.278,201612
94224,8.065,199312
94320,12.409,199312
94423,21.818,199312
94712,18.391,199312
94223,7.921,199512
94225,7.692,199512
94321,-7.692,199512
94421,-1.014,199512
94425,21.649,199512
94426,4.218,199512
94427,-1.014,199512
94713,17.143,199512
94424,40,199912
94620,30,199912
94622,47.17,199912
94710,-22.727,199912
94222,-10.949,200312
94310,-14.879,200312
94422,-10.448,200312
94621,6.687,200312
94221,-18.297,201112
94711,13.693,201112
94901,-25.189,201112
94951,2.793,201112
95222,0,199212
95810,33.929,199212
95420,25.581,199312
95421,-10.833,199312
95951,-41.935,199312
95954,-3.03,199312
95091,-1.538,199709
95223,6.417,199709
95229,-6.42,199709
95422,-8.869,199709
95710,25.97,199709
95423,1.21,200012
95060,13.095,200312
95221,-9.819,200701
95450,-20.8,200701
95040,9.259,200805
95065,-0.861,200805
95431,4.706,200805
95901,-0.407,200805
95041,-12.476,201205
95042,-5.556,201205
95070,-5.333,201205
95451,4.14,201205
95720,-6.849,201205
95045,20,201403
95430,-14.286,201403
95712,-16.667,201403
95955,NA,201403
95021,41.237,201604
95043,-3.279,201604
95044,-17.417,201604
95066,-3.774,201604
95071,-37.811,201604
95100,-4.908,201604
95440,-20.548,201604
95711,-10,201604
95902,3.268,201604
95903,-3.568,201604
95952,-14.815,201604
96111,-17.647,199006
96420,-12.299,199006
96430,-7.027,199006
96431,11.864,199206
96210,-12.057,199409
96221,-11.321,199409
96421,2.398,199409
96712,-2.155,199409
96951,-8.224,199409
96953,-12.195,199409
96954,3.03,199409
96422,-6.393,199809
96522,5.191,199809
96220,-10.49,200209
96222,-7.143,200209
96424,18.584,200209
96952,-7.271,200606
96610,34.728,201006
96711,12.019,201006
96523,6.029,201203
96423,-8.333,201603
96440,28.38,201603
96521,-10.065,201603
96620,-2.427,201603
96630,0.863,201603
96710,12.948,201603
96720,8.989,201603
96725,2.108,201603
96955,0.439,201603
97220,6.897,199004
97810,90.909,199004
97110,-15.682,199212
97223,6.897,199212
97430,-33.146,199212
97520,-0.545,199611
97320,-11.071,200010
97321,-16.82,200010
97952,11.475,200010
97340,14.029,201112
97421,3.842,201112
97440,-10.433,201112
97450,0,201112
97521,-3.415,201112
97020,-15.642,201407
97230,-39.689,201806
97322,-10.124,201806
97330,16.346,201806
97341,2.797,201806
97460,-8.403,201806
97461,-8.661,201806
97522,10.537,201806
97710,7.937,201806
97951,-28.523,201806
98325,-5.603,199404
98421,11.917,199404
98422,37.879,199404
98423,0,199404
98424,-11.429,199404
98612,10.435,199404
98613,10.236,199404
98711,17.222,199404
98712,14.01,199404
98713,29.867,199404
98810,2.273,199404
98951,15.094,199404
98111,-15.455,199803
98322,-4,199803
98323,-2,199803
98324,-12.821,199803
98426,-10.448,199803
98428,10.345,199803
98521,9.341000000000001,199803
98611,2.609,199803
98614,25.49,199803
98811,-22.414,199803
98427,1.493,200203
98429,-9.402000000000001,200203
98081,-8.66,200709
98321,22.24,200709
98615,-12.82,200709
98616,-2.92,200709
98221,-29.897,201210
98630,-22,201210
98952,-5.882000000000001,201210
98617,9.474,201410
98618,8.571,201410
98620,9.783,201410
98631,29.545,201410
98720,9.302,201410
98730,12.245,201410
98910,20.238,201410
113620,-4.78,199203
113621,-4.31,199203
113420,-25.16,199604
113421,-14.97,199604
113622,-5.44,199604
113422,-18.24,200404
113430,-14.35,200404
113650,-4.55,200404
113320,-55.46,200804
113321,-42.9,201204
113440,-36.543,201204
113651,-42.857,201204
113322,-37.432,201604
113441,-42.508,201604
113442,-35.328,201604
113630,-20.069,201604
171201,-41.281,197907
171202,-41.304,198507
171203,-40.437,198507
171308,-35.849,198507
171307,-15.021,198807
171302,-40,199108
171303,-5.691,199108
171304,-15.612,199108
171031,-15.236,200007
171033,-30.189,200607
171034,-20.016,200907
171310,-12.52,200907
171032,-14.039,201207
171035,-27.62,201207
171101,-10.526,201807
171210,15.05,201807
171301,-5.339,201807
171305,-1.911,201807
171306,-9.465,201807
171309,-4.439,201807
171311,3.753,201807
171601,1.089,201807
171611,-0.291,201807
181410,-2.152,199906
181210,-27.799,201405
181310,-31.926,201405
181411,-8.120000000000001,201405
181420,-32.812,201405
181910,-7.724,201405
150029,-3.82,198905
150040,13.287,198905
150201,1.997,199505
150202,-15.217,199505
150028,-6.644,199910
150032,-13.04,199910
150601,0.176,199910
150022,-7.958,200304
150205,4.167,200304
150210,-26.135,200304
150401,-0.381,200304
150023,-11.006,200710
150031,-13.213,200710
150024,-20,200906
150061,-18.023,200906
150220,-16.346,200906
150221,-12.027,200906
150222,-18.957,200906
150027,1.245,201110
150230,-50,201110
150026,-6.838,201310
150301,-15.094,201310
150021,8.333,201510
150025,-32.366,201910
150033,-20.859,201910
150062,-0.862,201910
151062,-38.356,200912
151255,8.832,200912
151610,11.64,200912
151617,-3.091,200912
151250,-17.41,201410
151540,-14.107,201410
151640,-3.287,201410
155620,-3.968,198912
155601,16.892,200512
155602,-0.809,200512
155023,-28.325,200912
155025,-41.486,200912
155024,-37.011,201311
155021,-24.938,201711
155026,-39.175,201711
155061,3.958,201711
155201,-31.919,201711
155501,-29.713,201711
155980,-2.332,201711
162210,-43.399,201410
162310,-21.2,201410
162410,-8.831,201410
162510,-0.077,201410
162610,-3.24,201410
180250,NA,198911
180309,32.836,198911
180410,10.733,198911
180610,NA,198911
180710,-27.333,199410
180232,-15.974,199810
180320,-20.711,200210
180231,-51.128,200610
180110,-28.302,201010
180240,-5.394,201410
180230,-26.123,201810
180251,-20.298,201810
180310,4.474,201810
180620,42.466,201810
