party_V228,left_right_V95
417013,6.333333333333333
417014,6
417015,3
434001,6.247474747474747
434002,5.889344262295082
458001,6.968862275449101
458002,5.53921568627451
458003,5.806451612903226
458004,6.48936170212766
484001,6.553333333333334
484002,6.662385321100918
484003,5.307359307359308
484004,6.028985507246377
484005,6.09375
484006,6.739130434782608
484007,4.833333333333333
504001,4.6923076923076925
504002,6.461538461538462
504004,6.666666666666667
504005,5.8
504006,2.5
504007,8
504009,5.645161290322581
504011,6.8
528001,4.029197080291971
528002,6.513513513513513
528003,7.343915343915344
528004,5.508474576271187
528005,3.4516129032258065
528006,8
528009,3.6927710843373496
528013,7.08029197080292
528014,6.230769230769231
528015,4.444444444444445
528018,6.06
554001,7.7272727272727275
554003,3.5
554004,3.4107142857142856
554005,4.57037037037037
554006,6.772563176895307
554007,6
554008,3
554009,4.444444444444445
554011,1
554012,4.428571428571429
566001,4.875
566002,5.393665158371041
566003,10
566004,5.575
566005,4.764705882352941
566006,5.437125748502994
566007,3.25
566008,6.408163265306122
566009,6
566010,3.5
566011,5.333333333333333
566012,5.929853181076672
566013,6.857142857142857
566014,4.375
566015,5.374592833876221
566016,4.6
586001,7.21969696969697
586002,7.264204545454546
586003,7.628571428571429
586004,6.8076923076923075
586005,6.56
586006,6.428571428571429
586007,8.018181818181818
586008,7.485714285714286
586009,7.404761904761905
586010,7.5
586012,8.333333333333334
586013,7
586014,10
586015,8
586016,7
586017,7.846153846153846
586018,6.333333333333333
586019,5.666666666666667
604001,5.152777777777778
604002,6.381818181818182
604005,5
604006,5.466666666666667
604007,6
604008,5.5
604021,1
604024,4.964467005076142
604025,6.5
604026,5.559440559440559
604027,5.552631578947368
604028,5
604029,4.6
604030,7
604031,5.714285714285714
604034,5
604036,7.5
604037,5.333333333333333
604038,6.357142857142857
608001,6.8954545454545455
608002,6.853535353535354
608003,6.921875
608004,6.825396825396825
608005,6.706666666666667
608010,5
608011,8
608012,5
616002,5.574468085106383
616004,3.739130434782609
616031,7.24793388429752
616032,5.649289099526066
616033,2
616035,5
616037,7.5
616040,6.375
616042,9
616043,8
616046,4.392857142857143
642004,10
642006,5.638888888888889
642007,5.090909090909091
642034,4
642035,6.878378378378378
642036,4.60655737704918
642039,6
642052,4.946478873239436
642055,5.984126984126984
642056,4.25
642060,6.061224489795919
642062,6.230769230769231
642063,8.363636363636363
643002,4.170305676855895
643003,5.421768707482993
643032,5.91500904159132
643033,5.909090909090909
643034,5.213483146067416
643037,5.444444444444445
643039,6.4
646104,5.396518375241779
646105,5.65625
646106,5.457142857142857
646107,5.833333333333333
646108,5.636363636363637
646109,5.676923076923077
646110,5.222222222222222
646111,5.363636363636363
646112,5.615384615384615
646113,5.339622641509434
705002,4.716981132075472
705003,3.6666666666666665
705004,5.413793103448276
705005,5.222222222222222
705006,6.708333333333333
705020,7.2727272727272725
705021,3.3015873015873014
705025,3.5
710001,5.333333333333333
710002,6.458333333333333
710003,6.452062131762185
710005,6.8
710006,5.846320346320346
710007,4
710008,6.904761904761905
710009,7.666666666666667
710010,5
710012,8.5
710027,7.666666666666667
710028,6.461538461538462
710029,6.301587301587301
710030,6.12
710031,6.5
716001,6.5303571428571425
716002,3.998217468805704
716003,5.956521739130435
716004,4
716005,6
716006,4.352941176470588
716007,4.5
716008,6
724001,3.512690355329949
724002,6.664335664335664
724003,2.7115384615384617
724011,3
724021,4.5
724042,4.333333333333333
724062,4.380952380952381
724063,1.8333333333333333
724103,3.4
724104,4.846153846153846
752001,6.46875
752002,6.582278481012659
752003,6.96
752004,4.049180327868853
752005,7.714285714285714
752006,3.853448275862069
752007,2.3492063492063493
752009,6.513513513513513
752010,2.857142857142857
752011,3.857142857142857
764001,5.543795620437956
764005,6.952112676056338
764006,4
764007,4.5
764008,7.866666666666666
764009,6
764010,5.5
764011,4
764012,8
764099,5.166666666666667
788001,5.331081081081081
788002,6.956521739130435
788003,3.926829268292683
788004,6.142857142857143
788005,5
788006,5
788007,5.142857142857143
788008,7.666666666666667
792002,4.367403314917127
792006,7.4491525423728815
792008,7.404326123128119
792054,4.089285714285714
804101,5.771428571428571
804102,6.320754716981132
804103,4.148148148148148
804104,5.639024390243902
804105,5.390243902439025
804106,6.295454545454546
804107,5.833333333333333
804108,6.083333333333333
804109,5.5
804110,5.333333333333333
804111,4.5
804112,5
804113,5
804114,6
818101,7.241935483870968
818102,5
818103,6.4
818104,4.444444444444445
818105,7.5
818106,6.230769230769231
818107,4.75
818108,5
818109,6
818110,8
818111,5
818112,5
818114,5
818116,5
818122,2
818123,7.25
818124,7.666666666666667
818125,4.3
818126,5.285714285714286
818127,7
818128,6.666666666666667
818129,9
818130,9
818131,7.358620689655172
818132,8
818133,5.2
818140,6.846153846153846
818141,5
818142,6.25
818143,7.5
818144,5.318181818181818
818145,1
818146,3
818147,5
818149,1
818150,3.5
818151,9.5
818152,8
818153,3
818154,7
818155,5
818156,8
818158,4
818159,10
840001,7.430743243243243
840002,4.714285714285714
858001,7.129032258064516
858002,6.873015873015873
858003,3.281795511221945
858004,5.333333333333333
887001,6.764705882352941
887002,5.99009900990099
887003,2.8947368421052633
887004,3
887006,7
887007,6.666666666666667
887009,5
