party_V228,left_right_V95
1,4.785714285714286
2,5.254249547920434
3,5.47463768115942
4,5.53318219291014
5,5.016558249556476
7,5.405109489051095
12001,5.982142857142857
12002,5.5
12005,5.589743589743589
12006,6.452830188679245
12007,6.216216216216216
12008,6.230769230769231
12009,5.916666666666667
12010,6.375
12011,5
12012,5
12013,5.4
12014,7.5
31001,6.00250626566416
31002,8
31007,1
31008,5.619047619047619
31017,8
31019,4.444444444444445
31029,4.875
32001,5.136882129277566
32002,5.775
32003,6.111111111111111
32004,5.461538461538462
32005,5.666666666666667
36001,4.424719101123595
36002,6.399662731871838
36003,6.082191780821918
36004,3.6629834254143647
36005,6.5
36007,5.333333333333333
36008,5
36009,6.8
36010,6.2
36011,5
51002,5.392857142857143
51003,6.333333333333333
51005,5
51009,6.157894736842105
51023,4.2727272727272725
51027,6.027972027972028
51029,5.222222222222222
51031,5.407407407407407
51032,6
76001,6.046511627906977
76002,5.6157894736842104
76003,5.25
76004,6.208333333333333
76007,6.333333333333333
76009,3
76010,5.181818181818182
76012,4.888888888888889
76014,4.333333333333333
76015,5.888888888888889
76022,4.142857142857143
76023,7.3
76024,5.25
76025,7.5
152001,7.673076923076923
152002,6.833333333333333
152005,3.1666666666666665
152006,4.537313432835821
152007,3.954954954954955
152008,3.8333333333333335
152009,2.793103448275862
152010,4.788235294117647
152012,4.333333333333333
152016,5
152018,5.75
152019,2.5
152020,9
152022,5.8
158011,4.978378378378379
158012,4.243421052631579
158013,5.4
158014,4.166666666666667
158015,4.25
170001,6.777777777777778
170002,6.807971014492754
170003,6.644230769230769
170004,5.833333333333333
170006,6
170016,4.844444444444444
196001,8.481481481481481
196002,2.01
196003,5
196004,5
196005,10
196009,6.441379310344828
196010,6.514285714285714
196011,3.723809523809524
196016,3.4
196018,2.5
196019,3.8
196021,3.5
196022,10
196023,7.25
196024,6
196025,3.75
218001,5.426282051282051
218003,6
218006,5.9375
218009,6.521739130434782
218013,5.5
218014,6
218015,5.2105263157894735
218016,6.5
233002,4.541033434650456
233008,6.293838862559242
233022,5.409090909090909
233029,5.282051282051282
233030,6.525974025974026
233031,5.183856502242152
268004,4.111111111111111
268101,5.575
268103,4
268104,3.5
268105,5
268108,5.666666666666667
268109,5.375
268111,5.083333333333333
268116,4.5
268121,6.107142857142857
268123,6.157068062827225
268125,6.0476190476190474
268126,3.727272727272727
268127,1
268128,4.826923076923077
275001,5.970326409495549
275002,6.821428571428571
275003,4.615384615384615
275004,6
