ccodewb,party,partynum,dw,d2,d5,d1,d4,e2,partysize
IND,BSP (Bahujan Samaj Party),1,4.1803279,3.2372882,3.875,2.7727273,2.46875,2.6338029,5.75
IND,All India Trinamool Congress,12,5.1538463,3.5,4.1999998,2.5555556,2.9000001,3.090909,2.6500001
IND,Nationalist Congress Party,6,5.2564101,5.1621623,3.9444444,4.9000001,3.4358974,2.8611112,1.9
IND,Telugu Desam Party,16,5.352941,6.6315789,4.3125,3.7058823,3.5294118,3.1500001,2.75
IND,Shirmani Akali Dal,9,7.9545455,5.8421054,6.9444447,5.3809524,3.4210527,2.6315789,0.94999999
IND,CPI (Communist Party of India),3,1.6081082,2.6142857,2.8636363,2.8235295,2.4571428,3.8285713,1.4
IDN,Golongan Karya,2,5.75,5.1538463,5.3076925,5.0714288,3.8333333,3.2142856,18.014999
IDN,Partai Amanah Nasional,1,5.8461537,4.0769229,6,4.3846154,4.3333335,2.8571429,6.2250004
IDN,Partai Persatuan Pembangunan,7,5.8461537,4,7.3076925,4.1428571,5.5,2.6428571,6.7349997
IDN,Partai Demokrasi Indonesia,4,3.1538463,3.2142856,4.4615383,2.9285715,3.8333333,3.4285715,16.280001
IDN,Partai Demokrat,3,5.9166665,5.5,5.4166665,5,3.9166667,3,14.15
IDN,Partai Keadilan Sejahtera,6,5.7692308,3.7142856,7.2142859,3.7857144,5.5833335,3.4285715,7.6100001
IDN,Partai Kebangkitan Bangsa,5,5.1538463,3.6923077,5.4285712,3.7142856,4.3333335,2.5714285,7.7550001
IRL,Fine Gael (FG),2,6.8888888,6.2222223,6.1111112,6,6,3.5555556,25.200001
IRL,Fianna Fáil (FF),1,6.3333335,5.8888888,6.1111112,5.1111112,6.25,3.3333333,41.549999
IRL,Greens (Gr),5,3.1111112,4.375,2.7777777,4.2222223,3.6666667,4,4.25
IRL,Sinn Féin (SF),4,2,3.1111112,3.5,3,5.2857141,3.125,6.6999998
IRL,Progressive Democrats (PDs,3,8.4444447,8.1111107,2.6666667,8.1111107,4.875,4,3.3499999
IRL,Labour (Lab),6,3.4444444,4.2222223,3.2222223,4,3.625,3.7777777,10.450001
ISR,Torah and Shabbat Judaism (Aguda),8,7.521739,3.1304348,9.5769234,3.5,7.818182,3.2692308,4.5500002
ISR,Meretz,9,1.9615384,4.1538463,2.1153846,4.5769229,2.7307692,3.8461537,3.4000001
ISR,Labor - Meimad,2,4,4.5769229,4.1999998,4.3846154,4.2692308,3.3846154,12.45
ISR,Israel Beiteinu,5,9.0769234,7.5,4.7826085,5.6842103,8.5,3.75,10.35
ISR,Kadima,1,5.5769229,7.0384617,5,6.5833335,5.8400002,3.2307692,22.25
ISR,Likud,4,8,6.9615383,6.5599999,6.3600001,7.7692308,3.5384614,15.3
ISR,National Unity - Mafdal,6,9.0384617,4.6190476,8.6923075,4.25,8.5200005,3.9230769,5.1999998
ISR,Pensioners' Party,7,5.3571429,3.7272727,5.2727275,2.9565217,5.818182,3.4736843,3.2
ISR,Shas,3,7.6666665,3.1199999,9.6923075,2.9230769,7.9200001,3.3846154,9
ITA,Südtiroler Volkspartei (SVP),8,5.3888888,4.8461537,6.9166665,4.8571429,4.1500001,2.5384614,0.45499998
ITA,Rifondazione Comunista (Rc),7,1.4615384,1.4230769,2.4400001,1.3076923,1.6666666,3.0416667,4.4499998
ITA,Movimento per l'Autonomia (Mpa),9,6.8235292,4.1428571,7.9230771,5.4166665,5.6428571,2.4705882,0.85000002
ITA,Lega Nord (LN),3,8.666667,6.4230771,8.3199997,6.8000002,8.666667,3.5599999,6.1999998
ITA,Partito Democratico (PD),4,3.6923077,3.8461537,3.75,3.1600001,3.125,3.1600001,32.200001
ITA,Unione di Centro (Udc),6,5.8076925,4.8461537,7.7199998,5.0799999,5.130435,2.7916667,6.1999998
ITA,Forza Italia (FI),1,8.0769234,7.2692308,7.48,8.1999998,7.4583335,3.52,30.550001
ITA,Italia dei Valori (IdV),5,4.8846154,4.5416665,5,4.1176472,4.5238094,3.2,3.3499999
ITA,Alleanza Nazionale (AN),2,8.4615383,4.7692308,8.5200005,5.7307692,8.0799999,3.3199999,6.1500001
JAM,People's National Party,2,5.1999998,4.3846154,6.0833335,4.3076925,2.8571429,2.9230769,51
JAM,Jamaica Labor Party,1,5.7272725,4.8461537,7,4.6923075,3.5,3.0769231,48.650002
JPN,Liberal Democratic Party Japan,1,8.2105265,5.3333335,8.2105265,5.6875,7.8333335,3.0526316,36.550003
JPN,Japanese Communist Party,4,1.2105263,2.1578948,2.9473684000000002,1.9473684,2.3157895,3.6111112,7.5
JPN,Japanese Social Democratic Party,5,1.8421053,2.4736843,2.4210527,2.4736843,2.2631578,3.5882354,5.3499999
JPN,Komei Party,3,5.8947368000000004,4,5.6666665,3.3333333,3.9444444,3,14.05
JPN,Democratic Party Japan,2,5.4705882,5.8235292,4.3333335,4.2666669,4.375,3.4736843,34.200001
KEN,Party of National Unity,4,7.3636365,5.6666665,5.3000002,5.909091,5.9230771,3.25,10.386474
KEN,Orange Democratic Movement,2,3.2,5.8461537,3.3846154,4.0714288,2.7333333,3.9375,23.913044
KEN,Kenya African National Union,1,6.3000002,4.1999998,4.6666665,6.8000002,4.75,2.375,17.881643
KEN,Orange Democratic Movement-Kenya,3,5.1111112,6.1666665,4.6666665,5.5,4.6666665,3.0625,3.8647344
LVA,TP,1,8.2307692,7.9230771,6.1538463,7.2307692,6.9230771,3.0769231,18.1
LVA,TB/LNNK,6,7.2307692,5.8461537,7.2307692,5.2307692,8.6923075,3.3076923,6.1500001
LVA,SC,4,3.9230769,4.4615383,4.1666665,4.2307692,2.4615386,3.0769231,7.1999998
LVA,JL,2,7.8461537,6.9230771,4.9230771,6.2307692,7.1538463,3.2307692,20.15
LVA,LSDSP,8,3.3846154,3.25,5.181818,3.3333333,5.8333335,3,3.75
LVA,LPP/LC,5,6.5384617,6.6153846,9.0769234,6.1666665,5.6153846,2.9230769,12
LVA,PCTVL,7,2.4615386,3.5384614,4.5454545,3.6923077,1.6923077,3.2307692,12.5
LVA,ZZS,3,6.3076925,5.3076925,6.5384617,5.1538463,6.6923075,3,13.05
LBN,Democratic Left Movement,5,3.8571429,3,3.5,3.6666667,6.6666665,2.625,0.78125
LBN,Lebanese Democratic Party,12,6,4.3333335,3.2,6,2.4285715,2.7142856,1.171875
LBN,Kateab Party,4,8.4444447,7.2857141,6.1999998,6.1666665,4.9000001,2.5999999,4.296875
LBN,Free Patriotic Movement,10,5.8000002,5.375,5,3.875,3.7,3.3,12.890625
LBN,National Liberal Party,6,7.7142859,7.75,5,7.3333335,3.2,2.1428571,0.390625
LBN,Syrian Socialist Nationalist Party,11,5.6666665,3.8571429,4.875,3.3333333,5.8888888,3.0999999,1.5625
LBN,Marada Movement,13,6.6666665,4.8000002,5.25,3.8,4.1428571,2.3333333,1.171875
LBN,Lebanese Forces,3,8.4444447,7.2857141,5.8000002,5.7142859,4.9000001,2.5,5.46875
LBN,Tachnak Party,14,5.6666665,4.5,5,3.6666667,3.0999999,2.8888888,0.78125
LBN,Hizbullah,9,5.1111112,5,8.6000004,2.5,3.5999999,3.5,10.546875
LBN,Jama'a Islamiya,7,6.25,5,8.6000004,3.5999999,4.8571429,2.75,0.390625
LBN,Amal Movement,8,5.2222223,4.2857141,7.1999998,4,4.3000002,2.7,10.546875
LBN,Progressive Socialist Party,2,5.5555553,3.125,5.5,3.4444444,4.5999999,2.7,10.15625
LBN,Future Movement,1,7.2222223,7.375,6.0999999,6,5.4000001,2.5,25
LBN,Lebanese Communist Party,15,2.2,2.4000001,2.7142856,1.5,4.5555553,3.5,0
LTU,Peasants and New Democratic Party Union,7,3.9333334,4.375,6.25,3.5,3.7692308,2.2352941,5.1500001
LTU,Labor party,1,4.6666665,5.5333333,6,3.625,3.6153846,1.5625,18.700001
LTU,Homeland Union (Lithuanian Conservatives),6,8.5,6.1176472,7.2666669,4.9411764,6.0588236,3.0588236,17.150002
LTU,Lithuanian Social Democratic Party,4,4,5.1764708,5.4615383,4.125,3.4000001,2.1764705,12.549999
LTU,Liberal Democratic Party,2,5.6428571,3.9411764,6.1538463,3.1333334,6.2142859,1.8125,11.85
LTU,New Union (Social Liberals),5,4.8461537,5.6875,5,4.1428571,3.3846154,1.8125,5.4499998
LTU,Liberal and Center Union,3,8.1333332,8.6470585,3.4285715,6.3333335,2.5999999,2.6470587,7.2000003
MKD,SDSM,1,2.5999999,3.7,2.75,5.1999998,3.6363637,3.75,19.549999
MKD,NSDP,3,2.4444444,4.7142859,3.3333333,6,3.2222223,3.3636363,6.9499998
MKD,DPA,5,NA,5,6.8888888,5.5,2.7,3.5,8
MKD,VMRO-DPMNE,2,7.4000001,5.2222223,7.3333335,5.4000001,6.2727275,4,40.650002
MKD,DUI,4,2.7142856,5.5,6.3000002,6.4000001,2.9000001,3.5833333,12.200001
MYS,Malaysian Chinese Association,2,7.8421054,4.8571429,3.6363637,5.7619047,4.0952382,2.6818182,12.95
MYS,Democratic Action Party,4,3.0999999,4.090909,1.9523809,3.1818182,1.7619047,3.6363637,11.85
MYS,Pan-Malaysian Islamic Party,5,6.1999998,3.0476191,8.7619047,2.9545455,6.2380953,3.4545455,14.65
MYS,People's Justice Party,3,3.6315789,3.6818182,3.8,2.9545455,2.8571429,3.590909,13.75
MYS,United Malays National Organisation,1,7.6500001,3,8.272727,4.3636365,7.6190476,3,32.599998
MLI,The Rally for Mali,2,4.75,4.375,5.7142859,4,3.7142856,2.5454545,17.8125
MLI,The Union for the Republic and Democracy,1,7,5,5.7142859,4.5999999,3.5714285,2.5454545,10.625
MLI,The Sudanese Union-African Democratic Rally,3,2.5,4.875,7,1.4,5.2857141,2.3636363,3.4375
MLI,The National Congress for Democratic Initiative,5,5.1428571,4.75,5.7142859,3.8,4.2857141,2.5454545,6.25
MLI,The Alliance for Democracy in Mali,4,5.625,5.1111112,5.7142859,3.5999999,4.5714288,2.7,32.5
MUS,Mauritian Social Movement,4,6.3000002,4.2727275,4.4545455,3.2727273,2.909091,3.2727273,25.78125
MUS,Mauritian Labour Party,1,6,4,3.6363637,3,2.8181818,3.3636363,32.8125
MUS,Mauritian Militant Movement,3,6,4,4.1999998,3.5454545,3.1818182,3.4545455,32.8125
MUS,Rodrigues Movement,6,5.5714288,4.3333335,4.5,2.8333333,3,3.1666667,3.125
MUS,Mauritian Party of Xavier-Luc Duval,2,7,4.6363635,3.6363637,3.1818182,2.4545455,3.2,2.34375
MUS,Organisation of the People of Rodrigues,5,5.4285712,4.5,4.5,2.6666667,3,3.1428571,3.125
MEX,PAN,2,8.1052628,7.3157897,7.3888888,5.3888888,6.3333335,3.4736843,28.25
MEX,P.V.E.M,4,7.0625,5.6428571,6.9000001,5.7857141,5.6363635,2.8571429,6.1500001
MEX,PRD,3,2.5789473,3.6315789,2.8333333,3.2777777,2.5555556,3.4210527,17.650002
MEX,PRI,1,5.4210525,5.1578946,4.647059,4.2222223,4.8333335,3.1578948,25.25
MEX,CONVERGENCIA,5,3.8,4.3846154,4,4.4285712,3.8461537,2.9285715,4.0999999
MDA,Communist Party of Moldova,1,2.1428571,1.6428572,8.9230766,2.4285715,2.75,3.5714285,47.75
MDA,Liberal Party of Moldova,5,8.3846149,7.7142859,4.1666665,4.5999999,6.6666665,3.25,6.5500002
MDA,Christian-Democratic People's Party,2,6.7142859,5.6428571,6.9230771,4.4615383,6.25,3.2307692,6.0500002
MDA,Democratic Party of Moldova,4,4.2857141,4.7857141,5.181818,3.6153846,3.5,2.8461537,4.8499999
MDA,Party Alliance Our Moldova,3,6.5384617,6.3076925,5.4545455,4.25,4.0833335,2.6923077,14.1
MDA,Social-Democratic Party of Moldova,6,3.5714285,4.2857141,6,3.3846154,2.5833333,2.7857144,3.3000002
MNG,National New Party,4,5.4000001,5.1111112,7.5833335,2.6666667,7.7272725,2.2727273,0
MNG,Mongolian People's Revolutionary Party,3,3.3076923,3.2666667,6.5714288,3.6666667,5.7333331,2.9333334,53.705261
MNG,Democratic Party,1,6.7142859,6.1999998,3.3571429,5.4000001,4.8000002,3.2,36.713158
MNG,Motherland Party,5,3.1666667,4.25,4.3333335,4.3333335,5.25,1.6,2.55
MNG,Civic Will Party,2,6.9000001,5.4545455,3.5454545,6.25,4.4444447,2.6153846,1.3078947
MAR,Mouvement Populaire,3,8.416667,6.5,6.75,6.1428571,4.181818,2.4615386,7.1500001
MAR,Parti d'Independence,1,9.25,5,6.7272725,6.4444447,4.0833335,2.7692308,9.25
MAR,Union Socialiste des Forces Populaires,5,3,4.6999998,4.9166665,4,4.1666665,3.3076923,9.25
MAR,Rassemblement National des Indépendents,4,9.25,6.5,6.090909,8.2857141,4.6999998,2.1538463,8.4499998
MAR,Parti de la Justice et du Développement,2,6.4166665,4.9000001,6.6666665,4.1111112,3.9166667,3.6153846,9.1499996
MOZ,Mozambican National Resistance,2,5.7777777,7.4545455,5.5,4,4.75,2.5999999,34.25
MOZ,Liberation Front of Mozambique,1,5.875,6.0769229,5.3076925,4.818182,6.2307692,3.3125,55.25
NAM,National Unity Democratic Organization,4,6,5.2222223,4.5555553,3.4545455,3.1818182,2.2727273,2.05
NAM,South West Africa People's Organization,1,4.1999998,3,6.75,3.25,6,2.9166667,75.649994
NAM,United Democratic Front,5,5.5,4.7777777,4.4444447,3.090909,2.9000001,2.2,3.2
NAM,Democratic Turnhalle Alliance,3,5.909091,5.3000002,4,3.5454545,3.3333333,2.8333333,7.25
NAM,Congress of Democrats,2,4.6363635,3.6363637,3.090909,3,3.4166667,3,8.5499992
NLD,Democrats 66,8,4.75,5.8333335,1.4166666,5.25,2.8333333,3.4166667,3.05
NLD,People's Party for Freedom and Democracy,4,7.9166665,8.333333,2.6666667,7.9166665,7.25,3.5,16.299999
NLD,Proud of the Netherlands,9,9,9.1000004,4.7142859,8.875,9.5,3.0833333,0
NLD,Christian Union,7,5.0833335,4,7.9166665,3.6666667,5.5833335,3.8333333,3.05
NLD,Christian Democratic Appeal,1,6,5.7272725,6.3333335,5.3636365,5.1666665,3.5,27.549999
NLD,GreenLeft,6,2.4166667,2.9166667,1.5833334,2.8333333,2,3.8333333,4.8499999
NLD,Party for Freedom,5,9.5,9,5,8.636364,9.75,3.8333333,2.95
NLD,Socialist Party,3,2.0833333,1.75,3.2,1.8333334,4.9166665,4,11.450001
NLD,Labour Party,2,3.9166667,3.1666667,2.8333333,3.25,3.5,3.75,24.25
NZL,Maori,6,3.3333333,4,4.75,3.5,3.0833333,3.6666667,2.25
NZL,Labour,1,5,3.3076923,3.9230769,3.0769231,2.1538463,3.9230769,37.549999
NZL,United Future,7,4.7142859,5.6666665,5.5,5.8333335,4.4166665,3,1.8
NZL,NZ First,4,4.3333335,4.3333335,5.8333335,4.75,7.75,3.25,4.8999996
NZL,ACT,5,7.3636365,8.5,3.6666667,8.5384617,6.25,3.5833333,2.5999999
NZL,Green,3,4.1111112,2.9166667,3.5,2.9230769,2,3.9166667,6
NZL,Progressive,8,4.375,2.5,3.6363637,2.75,2.1666667,3,1.05
NZL,National,2,5.7272725,6.6153846,4.3846154,6.8461537,5.2307692,3.4615386,42
NIC,Azul y Blanco,1,8.1999998,7.25,4.4444447,5.6666665,4.375,2.625,13.35
NIC,FSLN,2,4.9000001,3,5.0999999,4,4.3000002,3.1111112,40.099998
NIC,Partido Liberal,3,8.3000002,7,4.6999998,6.3000002,4.6666665,2.8888888,39.549999
NER,Nigerien Party for Democracy and Socialism,3,3,4.3333335,6.5999999,3.5,1.6666666,2.625,16.338554
NER,National Movement for the Development of Society,1,7,6.3333335,6.5999999,6.25,1,2.25,41.491566
NER,Democratic and Social Convention,2,6,5.1666665,8,6,3,1.875,18.940964
NER,Nigerien Alliance for Democracy and Progress,4,6.25,5.4000001,6.5999999,6.25,3,1.875,5.1096387
NGA,African Congress,1,4.8333335,5.9523811,4.2941175,4.909091,4.25,2.5757575,4.4444447
NGA,All Nigeria People's Party,2,4.75,5.3333335,5.4545455,4.4166665,4.2272725,2.7027028,22.311111
NGA,People's Democratic Party,3,6.5999999,6.347826,4.181818,6.75,5.2272725,2.2162163,63.361111
NOR,Conservative Party (Høyre),3,7.8400002,7.4166665,4.5,6.5833335,4.5833335,3.9166667,17.650002
NOR,Centre Party (Senterpartiet),1,4.2083335,4.2916665,5.318182,4.4166665,4.7916665,3.8333333,6.0500002
NOR,Socialist Left Party (Sosialistisk venstreparti),7,2.375,2.9583333,3.5217392,3.1666667,2.3333333,3.8333333,10.65
NOR,Labour Party (Arbeiderpartiet),4,3.8,4,4.75,3.8333333,3.96,3.8695652,28.5
NOR,Liberal Party (Venstre),5,6.1599998,5.9583335,3.125,5.25,3.28,3.7083333,4.9000001
NOR,Christian People’s Party (Kristelig folkeparti),2,5.7083335,5.125,7.0416665,4.25,4.8000002,3.875,9.6000004
NOR,Progress Party (Fremskrittspartiet),6,8.347826,7.75,5.7391305,6.6086955,8.1999998,3.8333333,18.35
PAK,MQM,4,5.9375,5.8000002,3.8333333,4.3888888,3.3499999,3.1904762,5.25
PAK,PML-Q,3,7.4545455,6.5,6.352941,5.2777777,5.5789475,2.0999999,24.35
PAK,PPP,1,3.5454545,4,3.2777777,3.3499999,2.8,3.0952382,28.200001
PAK,ANP,5,3.1818182,4.5333333,3.3333333,3.7777777,2.3157895,3.3333333,1.5
PAK,JUI-F,6,9,5.4000001,9.3529415,5,7.1333332,3.4736843,6.75
PAK,PML-N,2,7.4545455,6.5,6.1111112,4.5789475,4.9499998,3.3,14.5
PAN,P. Liberación Nacional,6,7.1999998,7,7.25,6.25,5.75,2.25,2.5999999
PAN,P. Solidaridad,4,7.5714288,7.6666665,7.8333335,5.1666665,6.3333335,2.1428571,7.8499999
PAN,P. Revolucionario Democrático,1,6.5,5.75,6.625,4.375,5,3.25,36.25
PAN,P. Molirena,3,7.625,7.75,7.4285712,4.8571429,6.5714288,2.25,6
PAN,P. Arnulfista,2,7.625,6.5,7,5.375,5.625,2.625,21.900002
PAN,P. Cambio Democrático,5,7.75,7.5714288,7.1428571,5,6.5714288,2.375,15.3
PRY,ANR,1,6.7692308,4.1538463,7.3846154,5.3076925,5.1538463,3.0769231,35.775002
PRY,PLRA,2,7.6923075,6.3076925,5.1538463,5.7692308,5.5,3,29.1
PRY,PPQ,3,8.6153851,7.3846154,6.0769229,6.0769229,6.1666665,2.9230769,9.5249996
PRY,MPT,7,2.5,1.5,3.5,1.5,1.75,2.75,0.625
PRY,PDP,6,3.75,3,4,2.25,2.25,2.75,0.625
PRY,PPS,5,3.5555556,3.5555556,4,3.5555556,3.2222223,3.1111112,1.65
PRY,PUNACE,4,8.2307692,5.1538463,7.8333335,5.8333335,5.5384617,2.5384614,17.35
PER,Partido Aprista Peruano,2,5.4545455,5.6363635,5.2727275,4.4545455,4.818182,3.2727273,20.150002
PER,Unión por el Perú,1,2.5999999,3.5454545,7.090909,3.3636363,5.6363635,3,12.650001
PER,Unidad Nacional,3,8.363636,7.3636365,6.090909,6.5454545,5.909091,3.2727273,14.55
PER,Frente de Centro,5,5.5,5.1999998,5.2222223,4.8000002,3.375,3.2,3.55
PER,Alianza por el futuro,4,7.5999999,7,5.6666665,5.9000001,5.6666665,2.4000001,6.5500002
PHL,AKBAYAN,7,1.4,2.3333333,2.4444444,1.9,2.2222223,4,0.57499999
PHL,BAYAN MUNA,6,1,2.1111112,4.1111112,1.9,2.5555556,4,0.95999998
PHL,NP,5,6.875,6.6666665,5.75,5.2857141,1.75,2.1111112,2.4849999
PHL,KAMPI,2,8.4444447,6.5,7,5.1428571,3.2,1.9,14.334999
PHL,NPC,3,8,6.5714288,5.25,5.5,3.2,2.2,13.025
PHL,LP,4,5.0999999,6.875,4.2857141,3.625,2.75,3,9.6049995
PHL,LAKAS-CMD,1,7.4444447,5.7142859,5.1666665,4.4285712,3.1428571,2.4000001,32.739998
POL,PSL,4,5.5384617,3.2857144,6.3846154,3.7142856,5.3076925,2.3846154,7.9499998
POL,SRP,5,3.4545455,2.1538463,5.6363635,2.6428571,5.5,3.0833333,6.4499998
POL,SLD,3,2.4285715,3.5714285,3.1428571,3.4285715,4.3076925,3,10.25
POL,PO,1,7.0714288,8.1428576,4.6428571,7.2857141,4.6153846,2.9285715,32.799999
POL,PiS,2,8.0714283000000009,3,7.1428571,3.0714285,6.3571429,3.1428571,29.549999
POL,LPR,6,9.2857141,2.7272727,8.5,3.0769231,7.3571429,3.3333333,4.6500001
PRT,Portuguese Communist Party,3,1.7,1.15,2.8333333,1.85,2.0588236,3.8,7.25
PRT,Leftist Bloc,5,1.7,1.5,1.2,1.9473684,1.2,3.8,4.5500002
PRT,Social Democratic Center-Popular Party,4,8.3500004,7.9473686,8.1999998,6.8888888,7.75,3.45,8
PRT,Social Democratic Party,2,6.6500001,6.5789475,6.3499999,5.7368422,5.5294118,3,34.5
PRT,Socialist Party,1,4.5,4.1052632,3.6500001,4.2105265,3.1666667,3,41.400002
KOR,GNP,1,7.5333333,6.9333334,7.3333335,8.1333332,7.4166665,2.9333334,36.599998
KOR,UDP,2,4.4000001,5.0666666,4.7333331,3.5999999,4.4166665,2.8666666,31.700001
KOR,LFP,3,8.3076925,7.6153846,8.333333,8.583333,7.3333335,2.7142856,3.4000001
ROM,Partidul Social Democrat,1,2.4615386,2.5384614,6.1428571,2.7142856,6.4285712,3.1428571,31.700001
ROM,Partidul Democrat Liberal,2,6.5833335,7,5.5384617,5.2307692,4.2857141,3.2857144,22.950001
ROM,Partidul Romania Mare,4,4.818182,2.0833333,8.9285716999999991,3.3636363,9.2142859,1.9230769,8.1000004
ROM,Partidul Conservator,6,4.1111112,3.2222223,7.1538463,3.5454545,7.9230771,2.4615386,3.25
ROM,Partidul National Liberal,3,6.9230771,7.4615383,4,5.5714288,4.3846154,3.5,18.299999
ROM,Uniunea Democrata Maghiara din Romania,5,6.2727275,6.7272725,3.9166667,5.181818,2.2857144,3.0833333,6.1999998
RUS,Yabloko,6,6.5384617,7.1666665,2.0833333,6,1.75,3.4615386,2.95
RUS,CPRF,2,1.3846154,2.6923077,8.083333,2,4.8000002,3.8461537,12.1
RUS,LDPR,3,7,4.9000001,7.5999999,4.3333335,8.416667,2.6153846,9.8000002
RUS,SPS,5,8.6153851,8.2307692,1.4166666,7.25,2,3.3846154,2.5
RUS,United Russia,1,5.7777777,4.4615383,7.818182,5,4.5555553,3.2307692,50.950001
RUS,SR,4,3.2307692,4.4166665,7.4545455,3.7692308,4.7777777,3.4615386,9.8999996
ZAF,Democratic Alliance,2,6.5454545,6.4545455,2.090909,4.6363635,2.7272727,3.6363637,14.55
ZAF,African National Congress,1,3.909091,2.6363637,2.5,2.909091,3.8181818,3.7272727,67.800003
ZAF,Inkatha Freedom Party,3,6.7272725,5.4545455,5.3000002,3.909091,3,2.6363637,5.8000002
SEN,Alliance of the Forces of Progress,5,4.2222223,5,6.625,4,1.8571428,3.2,8.0500002
SEN,Party of Independence and Labour,3,2.4000001,3,6.4285712,4.2222223,1.75,3.4545455,0.30000001
SEN,Socialist Party,2,3.6666667,3,6,4.7142859,2,3.090909,8.6999998
SEN,Senegalese Democratic Party,1,7.75,6.875,5.375,4.5714288,2.7142856,3.2222223,59.399998
SEN,African Party for Democracy and Socialism,4,3.2222223,3.4285715,6.4285712,4.375,1.7142857,2.8181818,4.5
YUG,SPS,6,4.3333335,2.5999999,5.2222223,2.2,5.4000001,3.1111112,6.5999999
YUG,DSS,3,8,4.5,7.8000002,5.3333335,8.5,3.3,10.6
YUG,DS,2,4.9000001,5,2.0999999,5,1.7,3.4000001,23.450001
YUG,SRS,1,8.4285716999999991,2.625,8.8000002,2.2,9,3.2,29.049999
YUG,LDP,7,6.2222223,9.1000004,2,9.125,2.0999999,3.3,5.25
YUG,G17+,4,6.8888888,8.2222223,1.8,8.5555553,1.9,3.3,7.5500002
YUG,NS,5,7.9000001,3.875,8.5,4,8.3999996,2.9000001,3.5
SVK,People's Party - Movement for a Democratic Slovakia,5,5.1999998,4.2727275,6.6666665,4.4166665,7.9166665,1.8333334,14.15
SVK,Slovak Democratic and Christian Union - Democratic Party,2,7.2307692,7.4615383,4.6923075,7.2307692,4.6153846,3.5833333,16.75
SVK,Party of Hungarian Coalition,4,6,5.5833335,5.8333335,4.6923075,1.8333334,2.9166667,11.45
SVK,Slovak National Party,3,6.5,4.6363635,8.4615383,4.1999998,9.8461542,2.8333333,7.5
SVK,Christian Democratic Movement,6,7.1538463,6.1538463,9.3076925,5.7692308,6.3076925,3.75,8.3000002
SVK,Direction - Social Democracy,1,2.8461537,2.3076923,5.1666665,2.3846154,7.4615383,3.1666667,21.299999
SVN,Social Democrats,1,2.375,3.2,2.0714285,2.125,1.6666666,3.5714285,20.35
SVN,Liberal Democracy of Slovenia,7,3.25,6.7333331,1.6428572,5.625,1.9333333,3.3571429,14
SVN,Democratic Party of Pensioners of Slovenia,4,3.25,2.7333333,2.9230769,2.0625,3.2307692,3.7692308,5.75
SVN,New Slovenia ¡V Christian People's Party,8,8.7333336,5.7142859,8.7142859,4.6875,8.1333332,3.1666667,4.5
SVN,For Real,3,3.1875,4.5333333,1.7857143,4.8125,1.4666667,3.5714285,4.6999998
SVN,Slovenian Democratic Party,2,7.0625,5.8000002,6.4285712,5.125,7.7333331,3.6428571,29.200001
SVN,Slovenian National Party,5,7.9166665,3.7,5.5384617,3.3333333,9.8000002,3.6923077,5.8500004
