country,partyfacts_id,name_short,ches_short,ches_id,ches_left_right,ches_gal_tan,ches_economy,ches_redistribute,dalp_short,dalp_id,dalp_left_right,dalp_gal_tan,dalp_economy,dalp_redistribute,dalp_identity,mp_id,mp_short,mp_left_right,wvs_short,wvs_id,wvs_left_right
LTU,52,KKSS,NKS,2510,6.6,5.25,5.5,,,,,,,,,,,,,,
LTU,1364,L/L/L,,,,,,,,,,,,,,88529,LKDPK,17.7,,,
LTU,5455,LCP,LCP,2521,5.33,8.62,3.78,4,,,,,,,,,,,,,
LTU,1185,LCS,LCS,2509,5.6,4.2,6.25,,,,,,,,,88420,LCJ,-8.6,,,
LTU,546,LDDP,,,,,,,,,,,,,,88220,LDDP,-0.27,,,
LTU,341,LDP,,,,,,,,,,,,,,88522,LDP,-11.16,,,
LTU,1193,LiCS,,,,,,,LCS,LTU-3,8.13,3.43,8.65,6.33,2.6,88430,LiCS,5.25,,,
LTU,1063,LKD,LKDP,2508,7.4,8.2,4.25,,,,,,,,,,,,,,
LTU,6804,LKDP,,,,,,,,,,,,,,88521,LKDP,6.23,,,
LTU,556,LLRA,LLRA,2511,6.09,9.45,2.82,3.22,,,,,,,,88951,LLS,-15.26,,,
LTU,1410,LLS,LLS,2512,7.8,8.75,0.75,,,,,,,,,,,,,,
LTU,1357,LLS,LLS; LiCS,2505,6.23,4.08,6.75,5.92,,,,,,,,88422,LLS,5.7,,,
LTU,1747,LMP — NDP,NDP,2502,3.2,6.25,3.75,,,,,,,,,,,,,,
LTU,753,LPKTS,,,,,,,,,,,,,,88523,LPKTS,19.36,,,
LTU,5779,LPS,,,,,,,,,,,,,,88421,SK,36.51,,,
LTU,1744,LRLS,LRLS,2518,6.82,1.91,8.27,6.64,,,,,,,,88450,LRLS,6.34,,,
LTU,168,LRS,LRS,2503,2.2,7,2.25,,,,,,,,,,,,,,
LTU,64,LSDP,LSDP,2501,2.36,2.73,2.82,3.09,SDP,LTU-4,4,5.46,5.18,4.12,3.4,88320,LSDP,-21.76,,,
LTU,377,LTS,,,,,,,,,,,,,,88710,LTS,37.96,,,
LTU,21,LVP,LVP; LVLS; LVZS,2507,5.09,8.45,4,5.09,,,,,,,,88810,LVP,-5.51,,,
LTU,1490,LVŽS / LVLS,,,,,,,LVLS,LTU-7,3.93,6.25,4.38,3.5,3.77,88820,VNDS,-9.78,,,
LTU,1407,LZP,LZP,2522,4,3.33,4.33,4.33,,,,,,,,,,,,,
LTU,8392,MKDS,MKDS,2514,7,5,6.75,,,,,,,,,,,,,,
LTU,1800,NS,NS,2504,4.08,5.33,4,4,NS,LTU-5,4.85,5,5.69,4.14,3.38,88410,NS,-5.38,,,
LTU,347,TPP,TPP,2517,5.44,4.5,5.78,6,,,,,,,,88630,TPP,11.45,,,
LTU,193,TS — LKD,TS-LKD,2506,7.18,6.64,6.73,5.45,TS,LTU-6,8.5,7.27,6.12,4.94,6.06,88620,TS,27.27,,,
LTU,237,TT — LDP,TT,2515,6.64,8.64,4.27,4.22,TT,LTU-2,5.64,6.15,3.94,3.13,6.21,88041,UTT,-2.81,,,
LTU,2091,UdL,,,,,,,,,,,,,,88031,UdL,-14.29,,,
LUX,1114,ADR,ADR,3805,8,8,7,4.5,,,,,,,,23951,ADR,4.68,,,
LUX,539,CSV,CSV,3801,6,6,5.5,3.5,,,,,,,,23520,CSV/PCS,-7.75,,,
LUX,271,DL,DL,3806,1.5,2.5,1.5,1.5,,,,,,,,23230,,-29.29,,,
LUX,300,DP,DP,3803,5.5,4,5.5,6.5,,,,,,,,23420,DP/PD,-7.17,,,
LUX,475,GLEI,,,,,,,,,,,,,,23111,GLEI,-17.5,,,
LUX,1138,Greng/GAP,Greng,3802,4.5,3,4.5,4,,,,,,,,23112,GAP,-22.5,,,
LUX,1647,KPL,,,,,,,,,,,,,,23220,KPL/PCL,-41.04,,,
LUX,186,LSAP,LSAP,3804,4,4,4,3.5,,,,,,,,23320,LSAP/POSL,-24.59,,,
LUX,2065,Pi,PPLU,3807,5,5,5.5,5,,,,,,,,,,,,,
LVA,2768,1-perc,,,,,,,,,,,,,,87420,LLP,20.9,,,
LVA,8393,AP!,AP!,2417,5.82,1.91,5.9,4.73,,,,,,,,,,,,,
LVA,837,DCP,,,,,,,,,,,,,,87430,DCP,4.32,,,
LVA,19,DPS,,,,,,,,,,,,,,87411,DPS,-26.32,,,
LVA,6355,JKP,JKP,2416,7.27,7.09,6.18,5.36,,,,,,,,,,,,,
LVA,1531,JL,JL,2401,7,5,7,7.5,JL,LVA-2,7.85,4.92,6.92,6.23,7.15,87423,JL,-7.46,,,
LVA,1632,JP,,,,,,,,,,,,,,87431,JP,19.77,,,
LVA,304,KDS,,,,,,,,,,,,,,87520,KDS,5.77,,,
LVA,6356,KPVLV,KPV,2415,5.7,5.5,5,5.5,,,,,,,,,,,,,
LVA,860,L,,,,,,,,,,,,,,87951,L,2.94,,,
LVA,1043,LC,LC,2407,6.75,6,8,8.5,,,,,,,,87410,LC,-1.56,,,
LVA,1789,LNNK,,,,,,,,,,,,,,87710,LNNK,19.88,,,
LVA,708,LNNK/LNKK,,,,,,,,,,,,,,87611,LNNK-LZP,12.77,,,
LVA,1778,LPP,LPP,2404,7,8,7.75,8,,,,,,,,87521,LPP,4.76,,,
LVA,461,LPP/LC,,,,,,,LPP/LC,LVA-5,6.54,9.08,6.62,6.17,5.62,87041,LPP/LC,8.96,,,
LVA,3194,LRa,LRA,2414,6,6.22,6.62,6.29,,,,,,,,87901,,25,,,
LVA,741,LSDSP,LSDSP,2408,2.25,6,2.25,1.25,LSDSP,LVA-8,3.38,5.18,3.25,3.33,5.83,87311,LSDA,-1.93,,,
LVA,588,LSP,,,,,,,,,,,,,,87310,LSP,-39.53,,,
LVA,373,LVP,,,,,,,,,,,,,,87320,LVP,-16.95,,,
LVA,1702,LZS,,,,,,,,,,,,,,87810,LZS,5.24,,,
LVA,1612,LZS/KDS,,,,,,,,,,,,,,87811,LZS-LKDS-LDP,26,,,
LVA,3193,NsL,NSL,2413,5.14,7.71,4.86,4.83,,,,,,,,87630,,6,,,
LVA,176,PCTVL,PCTVL; LKS,2402,2.27,7,3.2,2.78,PCTVL,LVA-7,2.46,4.55,3.54,3.69,1.69,87422,PCTVL,-22.03,,,
LVA,393,PLL,,,,,,,,,,,,,,87061,PLL,33.33,,,
LVA,1056,SC,SC; SDPS,2410,3.45,6.27,4,3.09,SC,LVA-4,3.92,4.17,4.46,4.23,2.46,87021,SC,17.07,,,
LVA,5976,SDPS,,,,,,,,,,,,,,87340,SDPS,-9.86,,,
LVA,671,TB,,,,,,,,,,,,,,87721,TB,1.72,,,
LVA,1704,TB/LNNK,TB-LNNK; NA,2406,8.45,8.09,6.09,6.27,TB/LNNK,LVA-6,7.23,7.23,5.85,5.23,8.69,87723,TB-LNNK,7.84,,,
LVA,1654,TKL — ZP,,,,,,,,,,,,,,87722,TKL-ZP,13.33,,,
LVA,1755,TP,TP,2403,7.25,5.75,7.75,8.25,TP,LVA-1,8.23,6.15,7.92,7.23,6.92,87610,TP,19.44,,,
LVA,1719,TSP,,,,,,,,,,,,,,87220,SLAT,20.45,,,
LVA,852,V,V,2412,6.91,4.82,7.18,6.91,,,,,,,,87062,,4,,,
LVA,506,VL,,,,,,,,,,,,,,87071,,1.72,,,
LVA,1476,ZRP,ZRP,2411,6.38,5.14,6.67,5.78,,,,,,,,87620,ZRP,-1.59,,,
LVA,701,ZZS,ZZS,2405,5.82,7.64,5.45,5.73,ZZS,LVA-3,6.31,6.54,5.31,5.15,6.69,87110,ZZS,-5.26,,,
MAR,5325,AMP,,,,,,,,,,,,,,,,,PAM,504011,6.8
MAR,2482,I,,,,,,,PI,MAR-1,9.25,6.73,5,6.44,4.08,,,,PI,504002,6.46
MAR,2481,MP,,,,,,,MP,MAR-3,8.42,6.75,6.5,6.14,4.18,,,,MP,504005,5.8
MAR,2479,PJD,,,,,,,PJD,MAR-2,6.42,6.67,4.9,4.11,3.92,,,,PJD,504009,5.65
MAR,2480,RNI,,,,,,,RNI,MAR-4,9.25,6.09,6.5,8.29,4.7,,,,,,
MAR,5323,UC,,,,,,,,,,,,,,,,,UC,504007,8
MAR,2324,USFP,,,,,,,USFP,MAR-5,3,4.92,4.7,4,4.17,,,,USFP,504001,4.69
MDA,3980,ally,,,,,,,,,,,,,,90220,PSMUE,8.57,,,
MDA,2269,BEAB,,,,,,,,,,,,,,90952,BEAB,1.68,,,
MDA,2267,BMD,,,,,,,,,,,,,,90320,BMD,-17.97,,,
MDA,2263,BTI,,,,,,,,,,,,,,90951,BŢI,-0.95,,,
MDA,2266,CDM,,,,,,,,,,,,,,90610,CDM,-7.69,,,
MDA,2264,CDPP,,,,,,,PPCD,MDA-2,6.71,6.92,5.64,4.46,6.25,90520,AFPCD,-1.15,,,
MDA,2259,PAMN,,,,,,,PAMN,MDA-3,6.54,5.45,6.31,4.25,4.08,90321,AMN,8.91,,,
MDA,2260,PCRM,,,,,,,PCRM,MDA-1,2.14,8.92,1.64,2.43,2.75,90221,PCRM,-10.46,,,
MDA,2262,PDAM,,,,,,,,,,,,,,90810,PDAM,-4.89,,,
MDA,2265,PDM,,,,,,,PDM,MDA-4,4.29,5.18,4.79,3.62,3.5,90330,PDM,-10.4,,,
MDA,2261,PFD,,,,,,,,,,,,,,90410,PFD,-1.36,,,
MDA,2272,PL,,,,,,,PL,MDA-5,8.38,4.17,7.71,4.6,6.67,90620,PL,6.94,,,
MDA,2271,PLDM,,,,,,,,,,,,,,90430,PLDM,3.09,,,
MDA,2268,PMDP,,,,,,,,,,,,,,90420,PMDP,-5,,,
MDA,4119,PRCM,,,,,,,,,,,,,,,,,,,
MDA,2555,PSD,,,,,,,PSD,MDA-6,3.57,6,4.29,3.38,2.58,,,,,,
MDA,2553,PSRM,,,,,,,,,,,,,,90231,PSRM,-10.46,,,
MEX,3979,ally,,,,,,,,,,,,,,171034,,-20.02,,,
MEX,1988,AM,,,,,,,,,,,,,,171031,AM,-15.24,,,
MEX,1331,C/MC,,,,,,,Convergencia,MEX-5,3.8,4,4.38,4.43,3.85,171311,CD,3.75,,,
MEX,8834,CBT,,,,,,,,,,,,,,171033,,-30.19,,,
MEX,1983,FDN,,,,,,,,,,,,,,171307,FDN,-15.02,,,
MEX,6110,MORENA,,,,,,,,,,,,,,171210,MORENA,15.05,,,
MEX,696,PAN,,,,,,,PAN,MEX-2,8.11,7.39,7.32,5.39,6.33,171601,PAN,1.09,PAN,484002,6.66
MEX,1989,PARM,,,,,,,,,,,,,,171303,PARM,-5.69,,,
MEX,1981,PCM,,,,,,,,,,,,,,171201,PCM,-41.28,,,
MEX,6113,PES,,,,,,,,,,,,,,171611,PES,-0.29,,,
MEX,1984,PFCRN,,,,,,,,,,,,,,171304,PST,-15.61,,,
MEX,1982,PMT,,,,,,,,,,,,,,171308,PMT,-35.85,,,
MEX,1345,PNA,,,,,,,,,,,,,,171309,PANAL,-4.44,,,
MEX,1985,PPS,,,,,,,,,,,,,,171302,PPS,-40,,,
MEX,216,PRD,,,,,,,PRD,MEX-3,2.58,2.83,3.63,3.28,2.56,171305,PRD,-1.91,PRD,484003,5.31
MEX,1474,PRI,,,,,,,PRI,MEX-1,5.42,4.65,5.16,4.22,4.83,171301,PRI,-5.34,PRI,484001,6.55
MEX,1986,PRT,,,,,,,,,,,,,,171202,PRT,-41.3,,,
MEX,810,PSD,,,,,,,,,,,,,,171310,Alternativa,-12.52,,,
MEX,1987,PSUM,,,,,,,,,,,,,,171203,PSUM,-40.44,,,
MEX,1241,PT,,,,,,,,,,,,,,171306,PT,-9.46,,,
